item1_id,item2_id,item1_text,item2_text,item1_score,item2_score,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
11870,39121,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,"Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",-5.65,-5.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
4634,39510,Agreed. Never listen to the deception out the christians mouths. They are wicked liars and worship the devil. The words 'sick' is meant to me good. The word 'come' is also a dirty word.. They celebrate pagan religions. 4:20 is hitlers birthday..,wow what a retardedly retarded retard,0.81,3.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32523,15892,"New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL",Hope he gets PTSD when I rip Fattys intestines out of his asshole.,-6.21,4.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48424,14407,JESUStheATHEIST1 throwing gays off roofs? Come back when ur sober guy,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",4.34,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11457,14352,You must have some pretty weird cats ngl,"Beat it out of her, or throw her to the curb. No use for uppity niggers.",-2.48,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10695,2320,"That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.",That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.,-5.79,-6.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
35743,48685,"Meet the 23-Year-Old Indian Origin Doctor Bhasha Mukherjee, Who Is Now 'Miss England' URL","Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",-2.81,-0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20877,17594,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,Because Muslims are the most visible brown people. People like you who suck white people's dick are hopeless.,-6.9,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20877,48685,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,"Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",-6.9,-0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28090,7153,@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,"Such an amazing culture and religion, they're so emotional but benevolent! ♥ South America has a large following of Yoruba religions (Umbanda and Candomblé) and the celebrations are incredible.",4.65,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44720,4328,The only due process is deportation. Seriously people? There should never be any RIGHTS guaranteed to any ILLEGAL other than a bus ride back to the country they snuck over the boarder from.,"NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.",-0.09,-3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3658,43497,"Go kill yourself you giving a bad rep for all minorities you fucking cum licker , dick chomper , big red","White nationalists will be always be that, deplorables in every sense, and the people that say they are not, are either liars or idiots, enjoy while it last, it won't be long anyway. I am tired of them and idiots scare me more than al-queda at this point, so guess who I want gone by now. , I want the hypocrite liars and real evil people dead or in healing forever, but the rest of idiots? Want to be merciful with them, just gone and ever come back..",1.91,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4457,14352,"happy pride, one year, I volunteered for our city's pride parade and I remember thinking that it was the first time in my life that I was the sexual minority (I'm a heterosexual), as everyone around me was LGBT. This was just for a weekend and I'm an adult so I can imagine a child or a teen who lives that every day could find that very challenging.","Beat it out of her, or throw her to the curb. No use for uppity niggers.",-2.89,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
405,22129,"MemeriTV: ""The US is a filthy whore dog of Israel!""",@CardDominant here to spoil but you're talking shit ?? Shut the fuck up. Can't even show your ugly ass face cause you're probably some old fucking hag who has a clit instead of a dick. Blocked again.,2.08,3.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4328,35743,"NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.","Meet the 23-Year-Old Indian Origin Doctor Bhasha Mukherjee, Who Is Now 'Miss England' URL",-3.42,-2.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2320,48374,That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",-6.01,-3.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37425,21374,@CarmineSabia Name muslim terrorist when they attack ill wait the second shooting was donw by a leftt dem you lot will be silenced on that one though,"O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL",-0.22,-3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3658,15892,"Go kill yourself you giving a bad rep for all minorities you fucking cum licker , dick chomper , big red",Hope he gets PTSD when I rip Fattys intestines out of his asshole.,1.91,4.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11870,802,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,see this is why aliens wont come here well just call them weird and enslave them or kill them all,-5.65,5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39121,28090,"Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,-5.85,4.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11870,5360,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,Fellow trans girl here! Love and support confirmed!,-5.65,-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39121,48424,"Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",JESUStheATHEIST1 throwing gays off roofs? Come back when ur sober guy,-5.85,4.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4328,39510,"NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.",wow what a retardedly retarded retard,-3.42,3.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20877,28090,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,-6.9,4.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4634,11457,Agreed. Never listen to the deception out the christians mouths. They are wicked liars and worship the devil. The words 'sick' is meant to me good. The word 'come' is also a dirty word.. They celebrate pagan religions. 4:20 is hitlers birthday..,You must have some pretty weird cats ngl,0.81,-2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43497,48374,"White nationalists will be always be that, deplorables in every sense, and the people that say they are not, are either liars or idiots, enjoy while it last, it won't be long anyway. I am tired of them and idiots scare me more than al-queda at this point, so guess who I want gone by now. , I want the hypocrite liars and real evil people dead or in healing forever, but the rest of idiots? Want to be merciful with them, just gone and ever come back..","Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",-1.55,-3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14352,802,"Beat it out of her, or throw her to the curb. No use for uppity niggers.",see this is why aliens wont come here well just call them weird and enslave them or kill them all,3.76,5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3658,9814,"Go kill yourself you giving a bad rep for all minorities you fucking cum licker , dick chomper , big red",I'll fuck your face while I abuse your tits and slap your pussy until I've drained every drop of cum out of my balls,1.91,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48374,21374,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.","O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL",-3.56,-3.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
7153,48685,"Such an amazing culture and religion, they're so emotional but benevolent! ♥ South America has a large following of Yoruba religions (Umbanda and Candomblé) and the celebrations are incredible.","Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",-5.7,-0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2320,25153,That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.,@realDonaldTrump This is what the UK Really thinks of you... There were no large cheering & flag waving crowds... There were thousands of JEERING men women & children in protest that you set foot on our soil! #TrumpUKVisit #TrumpProtest #Mueller URL,-6.01,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5719,14407,Literally anything racist or with the nword,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",-2.49,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10695,32523,"That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.","New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL",-5.79,-6.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44720,4634,The only due process is deportation. Seriously people? There should never be any RIGHTS guaranteed to any ILLEGAL other than a bus ride back to the country they snuck over the boarder from.,Agreed. Never listen to the deception out the christians mouths. They are wicked liars and worship the devil. The words 'sick' is meant to me good. The word 'come' is also a dirty word.. They celebrate pagan religions. 4:20 is hitlers birthday..,-0.09,0.81,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2320,22129,That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.,@CardDominant here to spoil but you're talking shit ?? Shut the fuck up. Can't even show your ugly ass face cause you're probably some old fucking hag who has a clit instead of a dick. Blocked again.,-6.01,3.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43497,25153,"White nationalists will be always be that, deplorables in every sense, and the people that say they are not, are either liars or idiots, enjoy while it last, it won't be long anyway. I am tired of them and idiots scare me more than al-queda at this point, so guess who I want gone by now. , I want the hypocrite liars and real evil people dead or in healing forever, but the rest of idiots? Want to be merciful with them, just gone and ever come back..",@realDonaldTrump This is what the UK Really thinks of you... There were no large cheering & flag waving crowds... There were thousands of JEERING men women & children in protest that you set foot on our soil! #TrumpUKVisit #TrumpProtest #Mueller URL,-1.55,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15892,48685,Hope he gets PTSD when I rip Fattys intestines out of his asshole.,"Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",4.44,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37425,44720,@CarmineSabia Name muslim terrorist when they attack ill wait the second shooting was donw by a leftt dem you lot will be silenced on that one though,The only due process is deportation. Seriously people? There should never be any RIGHTS guaranteed to any ILLEGAL other than a bus ride back to the country they snuck over the boarder from.,-0.22,-0.09,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
5719,21374,Literally anything racist or with the nword,"O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL",-2.49,-3.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5360,17594,Fellow trans girl here! Love and support confirmed!,Because Muslims are the most visible brown people. People like you who suck white people's dick are hopeless.,-8.34,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11870,15892,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,Hope he gets PTSD when I rip Fattys intestines out of his asshole.,-5.65,4.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32319,48374,No bitch apply enough pressure to make me feel insecure about myself I'm sorry you can be coldest bitch Inna world I still feel like I'm that bitch PERIODTTT❗️❗️❗️,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",-2.11,-3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28090,14352,@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,"Beat it out of her, or throw her to the curb. No use for uppity niggers.",4.65,3.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48424,32319,JESUStheATHEIST1 throwing gays off roofs? Come back when ur sober guy,No bitch apply enough pressure to make me feel insecure about myself I'm sorry you can be coldest bitch Inna world I still feel like I'm that bitch PERIODTTT❗️❗️❗️,4.34,-2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32523,37425,"New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL",@CarmineSabia Name muslim terrorist when they attack ill wait the second shooting was donw by a leftt dem you lot will be silenced on that one though,-6.21,-0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9814,4634,I'll fuck your face while I abuse your tits and slap your pussy until I've drained every drop of cum out of my balls,Agreed. Never listen to the deception out the christians mouths. They are wicked liars and worship the devil. The words 'sick' is meant to me good. The word 'come' is also a dirty word.. They celebrate pagan religions. 4:20 is hitlers birthday..,1.37,0.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44720,48424,The only due process is deportation. Seriously people? There should never be any RIGHTS guaranteed to any ILLEGAL other than a bus ride back to the country they snuck over the boarder from.,JESUStheATHEIST1 throwing gays off roofs? Come back when ur sober guy,-0.09,4.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20877,14407,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",-6.9,-5.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3658,48374,"Go kill yourself you giving a bad rep for all minorities you fucking cum licker , dick chomper , big red","Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",1.91,-3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7153,17594,"Such an amazing culture and religion, they're so emotional but benevolent! ♥ South America has a large following of Yoruba religions (Umbanda and Candomblé) and the celebrations are incredible.",Because Muslims are the most visible brown people. People like you who suck white people's dick are hopeless.,-5.7,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
405,21374,"MemeriTV: ""The US is a filthy whore dog of Israel!""","O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL",2.08,-3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4634,14407,Agreed. Never listen to the deception out the christians mouths. They are wicked liars and worship the devil. The words 'sick' is meant to me good. The word 'come' is also a dirty word.. They celebrate pagan religions. 4:20 is hitlers birthday..,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",0.81,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4328,14352,"NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.","Beat it out of her, or throw her to the curb. No use for uppity niggers.",-3.42,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10695,32319,"That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.",No bitch apply enough pressure to make me feel insecure about myself I'm sorry you can be coldest bitch Inna world I still feel like I'm that bitch PERIODTTT❗️❗️❗️,-5.79,-2.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48374,5360,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",Fellow trans girl here! Love and support confirmed!,-3.56,-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,39510,see this is why aliens wont come here well just call them weird and enslave them or kill them all,wow what a retardedly retarded retard,5.1,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39121,802,"Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",see this is why aliens wont come here well just call them weird and enslave them or kill them all,-5.85,5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
802,11457,see this is why aliens wont come here well just call them weird and enslave them or kill them all,You must have some pretty weird cats ngl,5.1,-2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9814,25153,I'll fuck your face while I abuse your tits and slap your pussy until I've drained every drop of cum out of my balls,@realDonaldTrump This is what the UK Really thinks of you... There were no large cheering & flag waving crowds... There were thousands of JEERING men women & children in protest that you set foot on our soil! #TrumpUKVisit #TrumpProtest #Mueller URL,1.37,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14407,48685,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.","Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",-5.8,-0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4457,39510,"happy pride, one year, I volunteered for our city's pride parade and I remember thinking that it was the first time in my life that I was the sexual minority (I'm a heterosexual), as everyone around me was LGBT. This was just for a weekend and I'm an adult so I can imagine a child or a teen who lives that every day could find that very challenging.",wow what a retardedly retarded retard,-2.89,3.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20877,5360,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,Fellow trans girl here! Love and support confirmed!,-6.9,-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43497,5719,"White nationalists will be always be that, deplorables in every sense, and the people that say they are not, are either liars or idiots, enjoy while it last, it won't be long anyway. I am tired of them and idiots scare me more than al-queda at this point, so guess who I want gone by now. , I want the hypocrite liars and real evil people dead or in healing forever, but the rest of idiots? Want to be merciful with them, just gone and ever come back..",Literally anything racist or with the nword,-1.55,-2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14407,35743,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.","Meet the 23-Year-Old Indian Origin Doctor Bhasha Mukherjee, Who Is Now 'Miss England' URL",-5.8,-2.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4457,32319,"happy pride, one year, I volunteered for our city's pride parade and I remember thinking that it was the first time in my life that I was the sexual minority (I'm a heterosexual), as everyone around me was LGBT. This was just for a weekend and I'm an adult so I can imagine a child or a teen who lives that every day could find that very challenging.",No bitch apply enough pressure to make me feel insecure about myself I'm sorry you can be coldest bitch Inna world I still feel like I'm that bitch PERIODTTT❗️❗️❗️,-2.89,-2.11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
